책 제목,소개글
나는 AI와 공부한다 (우리가 알고 있는 교육의 종말),"“교육계에 닥친 위기를 타파할 가장 현실적인 제언.”
앞서가는 교육 사상가 살만 칸이 말하는 AI 시대의 교육

요즘 모든 산업 트렌드의 핵심은 인공지능(AI)이다. 교육계도 예외는 아니다. 우리나라는 2025년 3월부터 초등 3, 4학년, 중1, 고1을 대상으로 영어, 수학, 정보 과목에서부터 단계적으로 AI 디지털교과서 도입을 앞두고 있다. 그러나 한편에서는 우려의 목소리가 높다. 많은 학부모와 교사들은 지나친 디지털 의존, 문해력 저하, 교사의 역할 축소 등을 걱정한다. 이러한 변화를 어떻게 받아들여야 할지 몰라 혼란스러운 학부모, 교사, 학생들을 위해 《나는 AI와 공부한다》가 출간되었다. AI 시대 교육이 어디로 향하고 있는지 그 방향성을 알고 싶다면 이 책 한 권이면 충분하다. AI를 활용한 교육 플랫폼이 실제 어떻게 활용되는지, 많은 이가 걱정하는 점이 무엇인지, 이에 대한 오해와 해결책을 구체적으로 제시한다. 살만 칸은 오픈AI 회장 그레그 브로크먼, CEO 샘 올트먼과 함께 챗GPT-4를 직접 시연하고, 이를 교육 시스템에 적용해 AI 융합형 교육 플랫폼 ‘칸미고Khanmigo’를 개발했다. 칸미고를 대중에 공개, 실제 학습에 활용할 수 있게 함으로써 많은 이들이 막연히 가지고 있던 불안을 해소하고자 했다. 칸미고로 대표되는 칸 아카데미의 교육 방식은 아이비리그가 새로운 교육 대안으로 주목할 만큼 진지하게 받아들여지고 있다. 전작 《나는 공짜로 공부한다》 이후 12년이 지난 지금, 살만 칸은 AI 개인교사가 아이들의 창조성을 자극하고 잠재력을 끌어올릴 거라고 긍정적으로 전망한다. 이 책에서 교육의 미래를 한눈에 확인할 수 있다. 우리는 지금 교육의 전환점에 서 있다."
"설자은, 불꽃을 쫓다 (정세랑 장편소설)","혼란한 시대, 흰 매가 새겨진 칼로 악의를 벤다!
사려 깊은 마음으로 무도함에 맞서는 신라 탐정 설자은

『시선으로부터,』 『보건교사 안은영』 
정세랑이 탄생시킨 또하나의 독보적 여성 캐릭터

언제나 우리에게 놀라운 재미와 따뜻한 감동을 동시에 전해주는 작가, 정세랑이 선보이는 본격 명랑 미스터리 ‘설자은 시리즈’의 2권 『설자은, 불꽃을 쫓다』가 출간되었다. 한번 손에 쥐면 순식간에 빠져들 수밖에 없는 흡인력 있는 전개와 사랑스럽고 생동감 있는 인물들, 읽는 이를 빈틈없이 감싸 안는 온기 어린 시선으로 독자들의 확고한 지지를 받아온 정세랑은 자신만의 분명한 목소리를 지니면서도 폭넓은 스펙트럼으로 작품세계를 확장해왔다. 『시선으로부터,』로는 모계를 중심으로 이어지는 삼대의 이야기를 통해 새로운 가족상을 제시해 교보문고, 예스24, 알라딘 종합 베스트셀러 1위, 조선일보, 경향신문, 문화일보 등 다수의 매체에서 올해의 책으로 선정되며 전 국민적인 사랑을 받았고, 같은 해 동명의 소설을 원작으로 한 넷플릭스 시리즈 〈보건교사 안은영〉(이경미 연출, 정유미·남주혁 주연) 또한 화제를 불러일으키며 스토리텔러로서의 저력을 여실히 증명한 바 있다.

‘설자은 시리즈’는 정세랑이 펴낸 첫 역사소설이자 첫 추리소설, 그리고 첫 시리즈이다. 통일신라시대의 수도 금성을 배경으로, 집사부 대사 설자은이 주변에서 일어나는 미스터리한 사건들을 해결해나가는 이야기를 담고 있다. 1권 『설자은, 금성으로 돌아오다』(2023)에 이어 출간된 『설자은, 불꽃을 쫓다』는 남장을 하고 죽은 오빠를 대신해 당나라로 유학을 떠난 설자은이 금성으로 돌아와 망국 백제 출신 장인 목인곤을 식객으로 들여 함께 사건들을 해결하다 왕의 눈에 띄어 어둠 속에서 암약하는 집사부의 대사로 임명된 이후의 이야기를 그린다. 사건과 사건 사이 빈틈을 포착하는 날카로운 시선과 냉철하고 비상한 두뇌를 가졌지만, 동시에 따뜻하고 사려 깊은 마음을 지닌 설자은은 왕의 명으로 무도한 이들이 금성의 배후에서 벌이는 일들의 진실을 밝혀낸다. 그 과정에서 설자은은 뜻하지 않은 악명을 얻기도 하고, 커다란 시련을 겪기도 하며 성장해나간다. 정세랑이 만들어낸 또하나의 환상적인 세계, 통일신라시대 금성의 모습을 눈앞에 펼쳐 보이듯 생생하게 그려낸 7세기의 먼 과거에서 매력적인 인물들이 벌이는 흥미진진한 미스터리 모험담. 오래도록 독자들을 사로잡을 장대한 이야기가 펼쳐진다."
태도의 철학 (흔들리는 삶을 위한 16가지 인생의 자세),"프랑스 국민의 인생 철학책!
“태도의 철학이 말과 행동, 인생의 방향을 결정한다”

오늘날 프랑스에서 가장 사랑받는 철학자, 샤를 페팽의 대표작 『태도의 철학』이 출간되었다. 현실에 기반을 둔 생생한 철학으로 세계적 인기를 끌어 ‘해외에서 가장 많이 번역된 프랑스 철학자’ 중 한 명으로 꼽히는 저자는, 프랑스에서만 20만 독자의 삶을 바꾼 이 책에서 시련을 어떤 태도로 받아들이냐에 따라 삶의 모습이 달라진다고 강조하며 ‘흔들리는 삶을 위한 16가지 인생의 자세’를 들려준다.
샤를 페팽은 세네카부터 에픽테토스, 니체, 사르트르, 프로이트까지 세기의 철학자 20여 명을 아우르며 ‘삶을 다시 일으키는 태도’란 무엇인지 고찰한다. 시련에서 지식을 얻는 스토아 철학부터, 경험을 많이 할수록 삶이 더 풍부해진다는 실존주의적 해석까지, 위태롭게 흔들리는 삶에 필요한 태도의 철학이다. 이에 관한 흥미로운 사례로 화가, 소설가, 운동선수, 가수, 과학자, 정치인까지 각 분야에서 놀라운 업적을 남긴 다양한 인물의 삶을 되짚으며, 그들이 숱한 시련에도 주변에 휘둘리지 않고 눈부신 인생을 살 수 있었던 이유를 ‘기꺼이 흔들리는 단단한 태도’에서 찾는다.
시련과 실패에 엄격한 현대사회에서 『태도의 철학』은 독자들에게 새로운 희망을 준다. “앞으로 계속 나아가라고 몰아붙이는 사회에서 삶에 대한 통제권을 돌려준다”라며 극찬한 프랑스 대표 일간지 《리베라시옹》을 비롯해 《하버드비즈니스리뷰》, 《데일리》, 《마리끌레르》 등 세계적 언론사들이 열광하고 10년 연속 프랑스 아마존 베스트셀러로 사랑받는 이유다. 불완전한 삶을 끌어안으며 나아가고 싶은 독자라면, 《엘르》의 짧지만 강력한 추천의 말처럼 “이 책으로 새롭게 숨 쉬게 될 것이다”."
생각에 지친 뇌를 구하는 감정 사용법(워크북 포함) (당신의 뇌가 행복을 선택하는 7가지 방법),"모든 의사결정의 시작점, 감정의 뇌와 친해지면
내 머릿속 행복 스위치가 켜진다!

뇌 안의 최초의 감정, ‘림비’가 알려주는 단순하고 유쾌한 뇌과학 처방전

인간의 뇌를 생각하면 무엇이 떠오르는가? 명철한 논리? 심오한 사유? 그 모든 것은 인간의 뇌가 가진 특장점이 맞다. 그러나 그만큼 우리의 삶에 결정적인 영향을 미치는 부분이 뇌 안에 또 존재한다. 바로 감정이다! “전두엽에 손상을 입고 감정을 느끼지 못하는 사람들은 일상에서 흔히 있는 단순한 결정의 순간(갈색 구두? 아니면 검정 구두?)에 선택지의 장단점을 열거할 수는 있었지만, 어느 한쪽으로 기울지는 못했다.”(126p) 뇌 연구는 인간이 무엇이든 결정을 내리기 위해서는 감정이 반드시 필요하다는 사실을 밝혀냈다. 뇌는 객관성과 주관성, 사실과 추측, 이성과 감정을 모두 조합하여 결정을 내린다. 그런데도 자꾸만 크고 작은 결정을 앞두고 사람들은 감정을 억제하고 이성적으로만 생각하려고 노력한다. 우리는 날카롭게 분석하는 것을 배운 적은 있어도 감정을 제대로 사용하는 법을 배운 적은 없다.
책 《단순하게 살아라》로 전 세계 1000만 독자, 한국에서만 50만 독자의 삶을 바꾼 베스트셀러 작가 베르너 퀴스텐마허는 바로 그 지점에서 인생의 해결책을 찾았다. 인간의 본질을 알려주는 뇌과학에 매료되어 파고들던 그는 다름 아닌 감정의 뇌, 대뇌변연계에 사로잡혔다. 대중적으로 크게 주목받지 못하고, 제어의 대상이 되기 십상인 대뇌변연계이지만, 이 감정의 뇌가 가지고 있는 막강한 힘을 잘 활용하는 자만이 행복으로 향하는 문의 열쇠를 쥐게 된다는 사실을 깨달은 것이다.
그는 자신이 발견한 대뇌변연계의 매력과 힘 그리고 그 힘을 효과적으로 발현하는 방법을 널리 알리기 위해 대뇌변연계를 ‘림비’라는 귀여운 캐릭터로 재탄생시켰다. 복슬복슬한 모습의 림비를 알아가다 보면 왜 자꾸 집중력이 흐트러지는지, 나중에 후회할 충동구매를 하는 이유는 뭔지 내 자신을 더 잘 이해하게 된다. 뿐만 아니라 아주 간단한 환경 변화, 행동 변화로 림비가 기발한 창의성을 발휘하고, 사랑의 유효기간을 무한하게 만들 수 있다는 것도 알게 된다. 쉽고 재미있게 뇌과학 지식을 이야기해주고, 그를 기반으로 우리 삶을 바꾸는 가장 단순한 팁들을 잔뜩 알려주며, ‘감정의 뇌 사용법’을 바로 삶에 적용하도록 감정 일기 워크북까지 갖춘 이 책은 행복한 삶을 위한 완벽한 백과사전이 되어줄 것이다."
생각정리독서법 (책을 읽고 생각을 정리하며 나를 성장시키는),"""읽기만 하는 독서에서, 내 것이 되는 독서로!""
책을 읽는 방식이 바뀌면, 당신의 인생도 달라집니다.

‘왜 책의 내용이 머릿속에 잘 남지 않을까?’ 
‘책을 읽어도 기억에 남지 않으면 무슨 의미가 있을까?’
책을 읽으면서 누구나 느끼는 고민이다. 하지만 모든 책을 다 기억할 필요는 없다. 책의 모든 내용을 머릿속에 넣으려 하기보다는, 읽으면서 내가 느끼고 깨닫는 것에 더 집중하는 것이 더 중요하다. 이때 필요한 것이 균형 있는 ‘생각정리독서법’이다.  가슴에 남고 오랫동안 기억할 수 있는 독서를 하기 위해서는 ‘책 내용 정리’와 ‘내 생각 정리’ 두 가지의 독서정리를 모두 잘해야 한다. 
책의 내용을 제대로 이해하고 기억하기 위해서는 책을 읽기 전, 저자가 내용을 어떻게 구성했는지 이해하는 것부터 시작해야 한다. 책의 핵심을 요약하고, 마인드맵이나 만다라트와 같은 시각적 도구를 활용해 저자가 전달하려는 메시지를 명확히 파악해야 한다. 
내 생각을 정리하기 위해서는 책의 여백에 메모를 남기거나 질문을 적어 보며 책을 읽는 동안 떠오른 나만의 아이디어와 깨달음을 정리하고, 이를 실행 가능한 계획으로 발전시키는 것이 필요하다. 단순히 저자의 생각을 받아들이는 데 그치지 않고, 그 위에 자신의 생각을 덧붙여 삶의 변화를 만들어 가는 과정이 포함된다.

책을 읽는다는 것은 단순한 정보 습득을 넘어, 자신의 삶에 변화를 만들어 가는 도구가 되어야 한다. 《생각정리독서법》은 책의 내용과 자신의 생각을 정리하는 균형 잡힌 접근법을 통해 독서를 한층 의미 있고 오래 기억에 남도록 만들어 준다."
책 고르는 책 (탐험하는 독서가를 위한 안내서),"책이라는 세계를 여행하기 위한 친절한 안내서!

15년 차 서점 MD가 전하는 책 선택의 모든 것
책과 친해지기 어려웠던 이들을 위한 책 읽기의 즐거움

매년 7만여 종의 새로운 책이 출간되는 시대, 이 엄청난 양의 책 사이에서 우리는 어떤 책을 고르고 읽어야 할까? 책 읽기의 즐거움이 있는 책, 새로운 지식과 통찰을 주는 유익한 책, 감동과 위로를 주는 내게 좋은 책은 무엇일까? 이 책은 책을 읽고 싶지만 어디서부터 무슨 책으로 시작해야 할지 몰라 고민하는 이들을 위해 ‘책 읽는 재미’와 ‘책 고르는 방법’을 안내하는 책이다. ‘내가 서울대에 가게 해준 것은 순전히 책 덕분이다’ 농담하는 저자는 서점인 이전부터 시작한 독서 경험과 전문 서점인으로 많은 책을 탐독한 경험을 바탕으로 다양한 분야별 책 읽기 방법을 소개한다. 예스24에서 15년 이상 서점 직원으로 일한 저자는 책과 독자의 세계를 연결한다. 책을 고르는 과정부터 읽는 법, 책을 즐기는 법까지, 책을 좋아하는 사람부터 책과 아직 낯설고 서먹한 사이지만 누구나 흥미롭게 책을 만나게 하는 이야기를 담았다. 읽고 싶은 책은 많지만 어디서부터 시작해야 할지 막막하다면, 새로운 분야의 독서를 하고 싶지만 책 고르기가 망설여진다면, 이제 막 독서를 시작하려는 왕초보 독자까지. 그런 독자를 위해 15년간 책과 함께 살아온 현직 서점 MD가 전하는 ‘책’이라는 세계를 만나보자. 진정한 책 읽기의 즐거움을 만나게 될 것이다."
"기록이라는 세계 (필사부터 감정노트, 탐구일지까지 나라는 세계를 확장시키는 기록 습관)","“일상을 기록할수록 나라는 세계는 넓어진다.”
나도 잘 몰랐던 나를 발견하고 단조로웠던 삶을 변화시키는 기록 습관

★17만 구독자가 열광한 ‘기록친구 리니’ 첫 기록 책
★리니가 애정하는 기록 도구와 직접 쓴 손글씨 수록!

17만 기록친구들에게 기록의 즐거움과 손글씨의 매력을 전하고 있는 리니의 첫 기록 자기계발서다. 《기록이라는 세계》에서는 한 줄로 시작하는 날것의 일기, 찰나의 순간을 간직하는 포토로그, 좋은 문장을 수집하는 필사, 꿈을 현실로 만드는 미래 일기 등 삶을 다채롭게 만들어줄 25가지 기록법을 전한다.
저자는 기록이란 단순히 쓰는 행위를 넘어 단조로웠던 한 개인의 세계를 커다랗게 넓혀주는 역할을 한다고 말한다. 기록을 통해 무심히 흘러가던 하루를 알아채고, 낯선 타인의 삶을 이해하며, 내면을 파고들어 진정한 나를 찾을 수 있기 때문이다. ‘기록을 어떻게 시작하면 좋을지’ 동기부여와 함께 기록하는 습관, 그리고 좀 더 넓고 깊어진 삶을 선사하는 책이다."
10대를 위한 JUSTICE 정의란 무엇인가 (하버드대 마이클 샌델 교수의 정의 수업),"‘정의’를 직관적으로 읽고, 생각의 깊이를 더하다!

정치 철학가 마이클 샌델의 대표작 《정의란 무엇인가》는 여러 철학자들의 이론을 넘나들며 질문을 통해 스스로 생각해 보게 하는 구조이기 때문에 10대가 읽기에는 다소 어려운 책일 수도 있다. 『10대를 위한 정의란 무엇인가』는 그런 점을 보완하여 10대 아이들도 정의’란 무엇인지, ‘좋은 삶’이란 어떤 것인지 직관적으로 이해할 수 있도록 구성했다. 영상 세대에 걸맞게 긴 텍스트보다는 강렬한 이미지와 짧은 글을 사용했다는 것이 특징이다.

본문 속에 등장하는 판단의 상황, 즉 딜레마에 빠지게 되는 상황을 이미지로 보여준다. 긴 문장보다는 짧은 문장으로 정리해 딜레마 상황을 명료한 내용으로 기억할 수 있도록 구성했다. 10대들도 충분히 공감할 수 있는 주제를 통해 어떻게 올바른 삶을 살 것인가, 문제 상황에서 가장 옳은 판단은 무엇인가에 대해 진지하게 고민하도록 안내한다. 더불어 책 속에 수록된 여러 철학자의 이론들은 우리 삶이 그만큼 복작하고 다양하다는 사실을 간접적으로 드러낸다."
스타일은 태도다 (호감을 얻는 자기표현 수업),"“스타일은 나를 표현하는 방식이자
타인을 대하는 태도다!”
일, 관계, 삶의 품격을 높이는 매력의 기술

“왜 저 사람은 첫눈에 끌릴까?” 매력적인 모습에 저절로 시선이 가는 사람이 있다. 단지 화려하고 비싼 옷을 잘 입어서 멋져 보이는 것이 아니다. 밝은 표정과 당당한 태도, 반듯한 자세에서 호감 가는 스타일이 완성된다. 그렇기에 내면과 외면을 동시에 가꿀 필요가 있다고 소울뷰티디자인 대표 김주미 저자는 말한다. 
자신감이 떨어질 때, 일을 열심히 하는데도 평판이 안 좋을 때 많은 이들이 달라지길 원하며 저자를 찾는다. 저자는 일반인을 위한 이미지 컨설팅은 물론 삼성, 네이버, 롯데 등 유수의 대기업과 백화점 및 금융권, 공공기관까지 스타일 코칭을 의뢰받고 ‘스타일 브랜딩’ ‘이미지 브랜딩’에 관한 강연을 하며 국내 최고의 퍼스널 이미지코칭 전문가로 활동하고 있다. 
자신에게 알맞은 스타일을 찾아 입으면 스스로를 긍정할 수 있고 관계에도 좋은 영향을 미친다. 중요한 상대를 만날 때나 격식을 차린 모임에서 좋은 이미지로 보이고 싶을 때면 옷차림부터 갖춰 입듯이, 스타일에는 나의 태도가 드러난다. 같은 말을 해도 자리에 어울리는 모습일 때 말에 무게가 더 실리고 신뢰가 간다. 이미지코칭을 받고 회사에서 믿음직한 인상을 보여주면서 더 큰 역할을 맡을 기회를 얻은 사람도 있고, 스타트업 대표가 프로페셔널하게 이미지를 바꾸면서 업계에서 평판이 좋아진 사례도 다수 있다. 이 책의 제목이 ‘스타일은 태도’인 이유다.
《스타일은 태도다》에서 저자는 마음가짐만 잘 바꿔도 스타일이 달라지면서 나 자신을 아끼는 습관을 들이고 인간관계도 잘 풀리는 방법을 쉽게 알려준다. ‘내 모습이 내 마음에 드는지’에서 시작해 자신의 일상과 사회생활에 어울리는 진정한 나다운 매력은 무엇인지 찾을 수 있다. 이 책을 따라가며 당신도 원하는 삶을 디자인하길 바란다."
단어가 품은 세계 (삶의 품격을 올리고  어휘력을 높이는 국어 수업),"“단어에는 인간의 삶이
가장 경이로운 모습으로 함축되어 있다”

언어를 넘어 삶의 근본을 탐구하는 통찰
서울대 황선엽 교수의 국어 수업

단어의 깊이와 아름다움을 통해 삶을 이해하고 세상을 탐구하는 서울대 명강의가 책으로 탄생했다. 서울대 국어국문학과 황선엽 교수의 첫 인문교양서 《단어가 품은 세계》가 바로 그 책이다. 국어의 역사를 비롯하여 어원과 단어의 변천에 깊은 관심을 두고 탐구하고 있는 황선엽 교수는 이번 책을 통해 우리가 매일 쓰면서도 몰랐던 단어의 비밀은 물론, 단어를 탐구하며 마주한 인간의 삶에 대한 통찰과 지혜를 흥미진진하게 전한다. 
이 책은 단어의 탄생과 성장, 쓰임에 대해 문학, 역사, 철학, 종교 등을 넘나들며 알려주며 언어 속 수천 년 역사가 눈앞에서 열리는 듯한 신기한 경험을 제공한다. 단어에는 삶의 향기가 듬뿍 배어 있다. 사람들의 가장 가까운 곳에서 쓰이는 단어 속에 사랑과 긍지, 땀과 애환, 성공과 좌절, 인간관계와 고민 등이 어떻게 담겨 있는지 이 책은 생생히 보여준다. 언어에 대한 통찰과 삶에 대한 지혜를 얻음은 물론 천천히 곱씹어 읽다 보면 말을 더 논리적으로 하려는 자신을 발견하고, 어휘 실력이 늘어나는 놀라운 경험을 할 수 있다."
어두울 때에야 보이는 것들이 있습니다 (슈테판 츠바이크의 마지막 수업),"“도스토옙스키의 작품보다 그의 작품을 더 좋아한다.”(지그문트 프로이트)
“그의 모든 작품을 소장하고 있다.”(알베르트 아인슈타인)

작가들의 작가 슈테판 츠바이크가 스스로 목숨을 끊기 전 남긴 마지막 ‘미공개’ 에세이

활동 당시 ‘전 세계에서 가장 많이 읽히는 작가’로 이름을 떨친 슈테판 츠바이크의 미공개 에세이가 출간되었다. 우리에게는 『어제의 세계』의 저자이자 영화 〈그랜드 부다페스트 호텔〉에 영감을 준 작가로 익숙한 슈테판 츠바이크는 당대 최고 지식인으로, 6000만 부 이상의 책을 팔며 알베르트 아인슈타인, 지그문트 프로이트, 라이너 마리아 릴케, 브루노 발터 등 세계 석학들에게 큰 영감과 감동을 선사했다. 그의 마지막 에세이 『어두울 때에야 보이는 것들이 있습니다』는 슈테판 츠바이크가 독일 나치를 피해 브라질로 망명을 떠난 시절에 남긴 기록이며 지금껏 대중에 공개되지 않은 이야기가 담겨 있다. 세계대전이라는 역사상 가장 어둡고 야만적이었던 시절에 남긴 글임에도 이 에세이는 인간에 대한 희망이 가득하고 우리에게 살아갈 용기를 건네며 유머러스하기까지 하다. 

“영원한 별들이 얼마나 찬란하게 빛나는지 알려면, 먼저 어두워져야 합니다.”

환한 낮에는 별이 보이지 않듯 어두워져야만 보이는 것들이 있다. 만약 지금 어두운 시절을 보내고 있다면 분명히 그 세계에서만 발견할 수 있는 빛이 있을 것이다. 『어두울 때에야 보이는 것들이 있습니다』는 제1차 세계대전을 겪고 곧이어 제2차 세계대전까지 목격하며 좌절한 유럽의 지성의 뜨거운 양심 고백이자 희망의 잔재다. 어두운 시절을 보내면서도 끈질기게 인간의 존엄과 자유를 찾아 헤맨 그의 글은 우리의 등을 든든하게 받쳐주는 듯하다. 저출산, 헬조선, 기후 위기, 경기 침체 등으로 전후세대보다 더한 스트레스를 받고 있는 우리에게 이 짧지만 강렬한 에세이는 계속 살아갈 용기와 영감, 희미하지만 분명한 희망을 전해준다."
나를 위한 첫 번째 환경수업 (포항공대 환경공학부 교수와 함께 과학의 눈으로 다시 시작하다),"유리병보다 페트병이 더 친환경적이다?
천연섬유라 해도 친환경적인 옷감은 없다?
유기농이 지구와 나에게 건강한 것은 아니다?

잘못 알수록 망가지는 것은 지구가 아니라 우리다!
나에게 이로운 최소한의 환경수업

유기농 마트에서 식재료를 사는 사람, 리사이클링 태그가 달린 의류를 사는 사람, 일회용 생리대보다 면 생리대를 고집하는 사람, 텀블러를 여러 개 사는 사람 등 환경과 나의 건강에 도움이 된다고 기대하며 돈을 더 지불하고 시간을 더 쓰는 사람들이 있습니다. 정말 그들의 선택이 환경과 나에게 이로울까요? 
유기농 식품의 경우 원재료는 유기농일 수 있지만 완제품이 됐을 때는 친환경이 아니거나 건강하지 않을 수 있으며, 한국에서의 리사이클링 의류는 해외에서 재생플라스틱을 수입하고 있어 오히려 더 많은 이산화탄소를 발생하고 있습니다. 이렇게 과학의 눈을 갖고 다각적으로 일상을 들여다보면 친환경이라고 생각해서 했던 선택들이 그렇지 못하다는 것을 깨닫게 됩니다. 
한편 과학을 통해서는 환경문제를 개선할 수도 있습니다. 심해에서 이산화탄소를 포집하는 기술을 개발해 대기 중 이산화탄소의 농도를 낮추고, 탈탄소에너지와 진정한 친환경자동차를 연구해 이산화탄소 발생량을 낮추고 있습니다. 과학은 그렇게 새로운 미래를 만들어갑니다. 이 복잡한 환경문제에 완벽한 해결책은 없지만 최소한으로 필요한 선택은 있습니다. 《나를 위한 첫 번째 환경수업》이 그렇습니다."
너를 위해 사는 것이 인생이라고 니체가 말했다 (자유롭고 단단한 삶을 위한 이기심의 심리학),"“마음이 길을 잃고 방황할 때 
니체는 가장 완전한 해답을 제시한다!”

‘최초의 심리학자’ 니체가 전하는
인간의 마음에 관한 가장 예리하고 도발적인 통찰!

철학자들의 철학자, 망치의 철학자, 위험한 철학자. 모두 니체를 부르는 말이다. 이 책은 니체에게 한 가지 수식어를 더 부여한다. 바로 최초의 심리학자다. 힘에의 ‘의지’, 홀로 나아갈 ‘용기’, 운명에 대한 ‘사랑’ 등 철학을 잘 모르는 사람도 한 번쯤 들어본 니체의 사상은 궁극적으로 한곳을 가리키고 있다. 바로 인간의 마음이다. 왜 심리학이었을까? 니체는 일찍이 건강 문제로 대학 강단을 떠나야 했고 정신착란까지 겪었다. 굴곡진 삶 속에서 스스로를 구원하기 위해서 그는 무엇보다 마음의 문제를 해결해야 했다. 그렇게 피를 토하는 마음으로 쓴 글이 모여 그의 심리학이 된 것이다. 이 책은 철학자라는 이름에 가려진 니체의 심리학을 소개하며 그의 사상을 새롭게, 더 깊고 정확하게 읽어낼 힌트를 제시한다. 

사는 게 내 마음 같지 않을 때, 고독하고 괴로울 때 우리는 니체에게 답을 구한다. 그토록 많은 이가 니체를 사랑하는 이유는 그의 사상이 심리학적 통찰에 기반하고 있기 때문이다. 그는 후회, 불안, 미움, 사랑과 같은 우리 안의 감정이 어떻게 작동하는지, 우리의 마음이 왜 이토록 흔들리고 방황하는지 명쾌하게 이해시킨다. 특히 통념을 깨는 삐딱함의 대명사답게 상식을 뒤엎는 통찰을 제시하는데, 이는 ‘이기주의 철학’으로 표현된다. 기존의 도덕이나 사회적 통념에 근거해 피상적인 위로를 건네는 대신 현실적으로 우리의 감정을 다루는 방법을 알려주면서, 모든 감정이 우리에게 힘이 되고 살아갈 용기가 될 수 있음을 보여준다. 그렇게 마침내 ‘운명애(아모르 파티)’ 앞으로 우리를 데려다 놓는다. 

니체의 철학 전반을 해설한 책부터 니체의 문장을 나열한 책까지 그동안 니체를 다룬 책이 수없이 쏟아졌다. 대부분은 니체의 복잡한 철학을 설명하느라 독자들의 마음까지는 읽어내지 못했다. ‘멋진 문장을 발견했지만 이해할 수 없는 내용이 많았다’ ‘니체를 읽어봤지만 내 삶이 변하지는 않았다’는 독자들을 위해 마침내 니체를 독자의 마음과 연결하는 책이 나왔다. 멀고 어렵게 느껴졌던 니체가 시공간을 뛰어넘어 우리의 마음을 치유하러 온다. “한 번뿐인 이 삶을 똑같이 살아도 좋다는 마음으로 살라.” 피할 수 없는 내 운명을 사랑하라는 니체의 가르침은 멀리 있지 않다. 이미 우리 안에 있다."
기린과 함께 서쪽으로,"한 소년과 두 마리 기린의 가슴 뭉클한 이야기

실화 바탕 장편소설 「기린과 함께 서쪽으로」가 열린책들에서 출간되었다. 대공황의 여파로 시름하던 1938년 미국, 가족을 잃고 뉴욕항을 배회하던 혈혈단신의 고아 소년 우디 앞에 허리케인을 뚫고 기린이 도착한다. 쓰러져 있던 기린의 눈을 보고 고향에서 기르던 암말을 떠올리며 알 수 없는 강렬한 기분에 휩싸인 것도 잠시, 기린들을 실은 트럭이 가난한 실향민들의 꿈인 캘리포니아주로 향한다는 사실을 알게 된 우디는 무작정 트럭을 쫓아 나선다. 「기린과 함께 서쪽으로」는 시간이 흘러 105세의 나이로 죽음을 앞둔 우디 니켈이 기린과 함께했던 여정을 돌아보며 남긴 기록을 따라간다. 
임기응변으로 트럭 운전사 자리를 따낸 우디와 그가 못마땅하지만 그를 믿고 기린 이송을 책임져야 하는 라일리 존스 영감, 그리고 기린 트럭을 따라오는 빨강 머리의 사진 기자 오거스타, 이 셋은 캘리포니아주로 가는 여정 내내 잇따른 사건 사고에 휘말리며 위험천만한 고비를 함께 넘긴다. 고향에서의 끔찍한 기억을 품은 채 오로지 생존에만 사로잡혀 있던 우디는 그 시간들을 통해 천천히 우정과 사랑, 존경, 그리고 희망이라는 감정을 싹틔우고, 소중한 것을 지키는 방법을 배워 나간다."
우연은 비켜 가지 않는다,"“줄리언 반스의 소설을 읽는 건 하나의 특권이다.”_타임스
살아 있는 영국 문학의 제왕, 줄리언 반스 6년 만의 장편소설!

『예감은 틀리지 않는다』로 맨부커상을 수상한 줄리언 반스의 신작 장편소설 『우연은 비켜 가지 않는다』가 다산책방에서 번역 출간되었다. 『연애의 기억』 이후 국내에 6년 만에 선보이는 줄리언 반스의 작품으로 “이것이 줄리언 반스다”라는 극찬과 함께 다시 한번 그만이 가능한 독보적인 이야기로 문학적 성취를 거두었음을 증명했다. 

소설은 결혼생활과 직업적 실패를 겪고 고비를 맞은 한 남자가 삶에 큰 영감을 주는 교수를 운명처럼 만나면서 시작한다. 언제나 압도적인 일인칭 화자를 내세워 강렬한 질문을 던지는 줄리언 반스는 이번 작품에서도‘닐’이라는 화자를 앞세워 매혹적인 허구의 인물 엘리자베스 핀치 교수와 역사의 승자에 의해 배교자로 불리는 로마 황제 율리아누스에 대해 탐색해 나간다. 그리고 마침내 생각지 못했던 물음에 직면하게 한다. ‘당신이 알고 있는 그 사람이, 그 사람이 맞는가?’ 

어느덧 여든에 가까운 줄리언 반스가 반세기에 가까운 시간 동안 글을 쓰며 천착해 온 화두의 정수가 모두 담긴 이 소설은 픽션과 논픽션을 과감히 넘나들며 기억의 한계와 역사의 왜곡, 그리고 인간과 삶의 다면성에 대해 흥미진진하게 펼쳐낸다. 누군가는 이 작품을 두고 장르 불명이라고 말한다. 그렇다. 줄리언 반스만이 쓸 수 있는 이야기라는 것 말고는 달리 무어라 정의 내릴 수 없다. 감히 줄리언 반스 40년 문학의 결정판이자 그의 문학적 지문과도 같은 작품이다."
